34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
259,259,259,259,259,259,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
259,259,259,259,259,259,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
34,34,34,34,259,259,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
34,34,34,34,259,259,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
34,34,34,34,259,259,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
34,34,34,34,259,259,259,259,259,259,259,259,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
34,34,34,34,259,259,259,259,259,259,259,259,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
34,34,34,34,34,34,34,34,34,34,259,259,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
34,34,34,34,34,34,34,34,34,34,259,259,259,259,259,259,259,259,34,34,34,34,34,34,34,34,34,34,34,34,34,34
34,34,34,34,34,34,34,34,34,34,259,259,259,259,259,259,259,259,34,34,34,34,34,34,34,34,34,34,34,34,34,34
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,259,259,34,34,34,34,34,34,34,34,34,34,34,34,34,34
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,259,259,34,34,34,34,34,34,34,34,34,34,34,34,34,34
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,259,259,259,259,34,34,34,34,34,34,34,34,34,34,34,34
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,259,259,34,34,34,34,34,34,34,34,34,34,34,34
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,259,259,259,259,259,259,259,34,34,34,34,34,34,34
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,259,259,259,259,259,259,259,34,34,34,34,34,34,34
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,259,259,34,34,34,34,34,34,34
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,259,259,259,259,259,259,34,34,34
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,259,259,259,259,259,259,34,34,34
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,259,259,34,34,34
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,259,259,34,34,34
